Rank,Name,RegionNumber,RegionName,Meaning,Height,Latitude,Longitude,Climbed
1,"Ben Nevis",4,"Loch Linnhe to Loch Ericht","Possibly from an old Gaelic word meaning venomous",1345,56.796825,-5.003624,true
2,"Ben Macdui",8,"Deeside to Speyside - The Cairngorms","Hill of the son of Duff",1309,57.069993,-3.669066,false
3,"Braeriach",8,"Deeside to Speyside - The Cairngorms","Brindled greyish upper part",1296,57.078168,-3.728828,false
4,"Cairn Toul",8,"Deeside to Speyside - The Cairngorms","Hill of the barn",1291,57.05415,-3.711223,false
5,"Sgor an Lochan Uaine (The Angel's Peak)",8,"Deeside to Speyside - The Cairngorms","Peak of the little green loch",1258,57.057539,-3.72622,false
6,"Cairn Gorm",8,"Deeside to Speyside - The Cairngorms","Blue hill",1244,57.116137,-3.644717,true
7,"Aonach Beag",4,"Loch Linnhe to Loch Ericht","Little hill",1234,56.799952,-4.955875,true
8,"Aonach Mor",4,"Loch Linnhe to Loch Ericht","Big hill",1221,56.812357,-4.963407,true
9,"Carn Mor Dearg",4,"Loch Linnhe to Loch Ericht","Big red hill",1220,56.804595,-4.98737,true
10,"Ben Lawers",2,"Loch Tay to Rannoch Moor","Gaelic labhar, meaning loud (from a stream)",1214,56.544702,-4.221711,true
11,"Beinn a' Bhuird",8,"Deeside to Speyside - The Cairngorms","Table-hill",1197,57.087407,-3.499875,false
12,"Carn Eighe",11,"Glen Shiel to Loch Mullardoch","File hill",1183,57.287727,-5.11608,false
13,"Beinn Mheadhoin",8,"Deeside to Speyside - The Cairngorms","Middle hill",1182,57.094994,-3.612419,false
14,"Mam Sodhail",11,"Glen Shiel to Loch Mullardoch","Hill of the barns",1181,57.279531,-5.120365,false
15,"Stob Choire Claurigh",4,"Loch Linnhe to Loch Ericht","Gaelic clamhras, meaning brawling or clamouring",1177,56.823101,-4.849514,false
16,"Ben More (Glen Dochart)",1,"Loch Fyne to Loch Tay","Big hill",1174,56.385789,-4.541317,true
17,"Ben Avon, Leabaoidh an Daimh Bhuide",8,"Deeside to Speyside - The Cairngorms","Bed of the yellow stag",1171,57.098936,-3.435963,false
18,"Stob Binnein",1,"Loch Fyne to Loch Tay","Gaelic binnein, meaning peak",1165,56.370597,-4.537066,false
19,"Beinn Bhrotain",8,"Deeside to Speyside - The Cairngorms","Hill of the mastiff",1157,57.009051,-3.723972,false
20,"Derry Cairngorm",8,"Deeside to Speyside - The Cairngorms","Blue hill of Derry",1155,57.062518,-3.622554,false
21,"Lochnagar",7,"Glen Shee to Glen Esk","Little loch of the noisy sound (Lochan na Gaire)",1155,56.959915,-3.246425,true
22,"Sgurr nan Ceathreamhnan",11,"Glen Shiel to Loch Mullardoch","Peak of the quarters",1151,57.254474,-5.222729,false
23,"Sgurr na Lapaich",12,"Loch Mullardoch to Glen Carron","Peak of the bog",1150,57.369064,-5.061426,false
24,"Bidean nam Bian",3,"Rannoch Moor to Loch Linnhe","Peak of the mountains",1150,56.642669,-5.030014,true
25,"Ben Alder",4,"Loch Linnhe to Loch Ericht","From the Alder Burn, meaning rock water",1148,56.813311,-4.465334,false
26,"Geal-Charn",4,"Loch Linnhe to Loch Ericht","White hill",1132,56.837559,-4.511198,false
27,"Binnein Mor",4,"Loch Linnhe to Loch Ericht","Big peak",1130,56.753916,-4.926076,false
28,"Ben Lui (Beinn Laoigh)",1,"Loch Fyne to Loch Tay","Calf hill",1130,56.39704,-4.811099,true
29,"An Riabhachan",12,"Loch Mullardoch to Glen Carron","The brindled greyish one",1129,57.361687,-5.105719,false
30,"Creag Meagaidh",9,"Speyside to Great Glen","Bogland rock",1128,56.951617,-4.602743,false
31,"Ben Cruachan",3,"Rannoch Moor to Loch Linnhe","Stacky hill",1126,56.42618,-5.1328,false
32,"Meall Garbh",2,"Loch Tay to Rannoch Moor","Rough hill",1123,56.564713,-4.208235,false
33,"Carn nan Gabhar",6,"Drumochter to Glen Shee","Hill of the goats",1121,56.839723,-3.68831,false
34,"A' Chralaig",11,"Glen Shiel to Loch Mullardoch","The basket or creel",1120,57.184277,-5.155361,false
35,"Sgor Gaoith",8,"Deeside to Speyside - The Cairngorms","Peak of wind",1118,57.068,-3.812476,false
36,"An Stuc",2,"Loch Tay to Rannoch Moor","the peak",1117,56.56008,-4.216103,true
37,"Aonach Beag",4,"Loch Linnhe to Loch Ericht","Little hill",1116,56.832675,-4.530543,false
38,"Stob Coire an Laoigh",4,"Loch Linnhe to Loch Ericht","Peak of the corrie of the calf",1116,56.810571,-4.88625,true
39,"Stob Coire Easain",4,"Loch Linnhe to Loch Ericht","Peak of the corrie of the little waterfall",1115,56.817619,-4.773708,false
40,"Monadh Mor",8,"Deeside to Speyside - The Cairngorms","Big hill",1113,57.026644,-3.751148,false
41,"Tom a' Choinich",11,"Glen Shiel to Loch Mullardoch","Hill of the moss",1112,57.29926,-5.048978,false
42,"Carn a' Choire Boidheach",7,"Glen Shee to Glen Esk","Hill of the beautiful corrie",1110,56.945264,-3.273881,false
43,"Sgurr Mor",14,"Loch Maree to Loch Broom","Big peak",1110,57.699984,-5.017133,false
44,"Sgurr nan Conbhairean",11,"Glen Shiel to Loch Mullardoch","Peak of the keeper of the hounds",1109,57.176748,-5.096795,false
45,"Meall a' Bhuiridh",3,"Rannoch Moor to Loch Linnhe","Hill of the bellowing (of stags)",1108,56.611799,-4.853127,false
